"id","Province","VillageEN","Feddans","Ibra","Founder","FoundationYear","Category","use","type"
"P01","ad-Daqahliyā & al-Murtāḥīya","Buqṭāris","null","null","null","null","separate","2","null"
"P02","ad-Daqahliyā & al-Murtāḥīya","Ṭamwayh","null","null","null","null","separate","1","null"
"P03","Ḍawāḥī al-Qāhira","al-Birka","null","null","null","null","separate","2","null"
"P04","al-Qalyūbīya","al-Murayg","null","null","null","null","separate","1","null"
"P05","al-Qalyūbīya","Baysūs","null","null","null","null","separate","1","null"
"P06","al-Gharbīya","Banī Ghiryān","null","null","null","null","separate","1","null"
"P07","al-Gharbīya","Ḥiṣṣat Ṭanditā","null","null","null","null","separate","2","null"
"P08","al-Gharbīya","Shabās al-Milḥ","null","null","null","null","separate","2","null"
"P09","al-Gharbīya","Minyat al-Ashrāf","null","null","null","null","separate","2","null"
"P010","al-Minūfīya","Sāqiyat al-Manqadī","null","null","null","null","separate","1","null"
"P011","Ibyār","Damālīg","null","null","null","null","separate","2","null"
"P012","Ibyār","Shubrā al-Lamna","null","null","null","null","separate","1","Amir"
"P013","al-Buḥayra","Arḍ tuʿrafu bin-Nuhūm","null","null","null","null","separate","2","null"
"P014","al-Buḥayra","al-Umarīya","null","null","null","null","separate","2","null"
"P015","al-Buḥayra","an-Nubayra","null","null","null","null","separate","2","null"
"P016","al-Buḥayra","Dist","null","null","null","null","separate","2","null"
"P017","al-Buḥayra","Disūnis Umm Dīnār","null","null","null","null","separate","2","null"
"P018","al-Buḥayra","Qulayshān","null","null","null","null","separate","2","null"
"P019","Fūwa","Maḥallat al-ʿAlawī","null","null","null","null","separate","2","null"
"P020","thaghr al-Iskandarīya","Ablūq","null","null","null","null","separate","2","null"
"P021","al-Gīza","Abū Quṭna","null","null","null","null","separate","2","null"
"P022","al-Gīza","al-Barrānīya","null","null","null","null","separate","1","null"
"P023","al-Gīza","ash-Shawbak","null","null","null","null","separate","1","null"
"P024","al-Gīza","Ṭalyā","null","null","null","null","separate","1","null"
"P025","al-Gīza","Manyal ʿAyyāsh","null","null","null","null","separate","2","null"
"P026","Aṭfīḥ","al-Kabīra","null","null","null","null","separate","2","null"
"P027","Aṭfīḥ","Gazīrat Qayṣar ar-Ruqaymī","null","null","null","null","separate","1","null"
"P028","Aṭfīḥ","Ḥayy ash-Shurafāʾ","null","null","null","null","separate","2","null"
"P029","al-Fayyūm","Dumūshiya al-Mallāḥa","null","null","null","null","separate","1","null"
